emp_no,birth_date,first_name,last_name,gender,hire_date
10001,1953-09-02,Georgi,Facello,M,1986-06-26
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01
10009,1952-04-19,Sumant,Peac,F,1985-02-18
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03
10035,1953-02-08,Alain,Chappelet,M,1988-09-05
10053,1954-09-13,Sanjiv,Zschoche,F,1986-02-04
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13
10066,1952-11-13,Kwee,Schusler,M,1986-02-26
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04
10070,1955-08-20,Reuven,Garigliano,M,1985-10-14
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09
10088,1954-02-25,Jungsoon,Syrzycki,F,1988-09-02
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21
10103,1953-11-26,Akemi,Birch,M,1986-12-02
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08
10129,1955-12-02,Armond,Peir,M,1985-12-10
10130,1955-04-27,Nishit,Casperson,M,1988-06-21
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18
10150,1955-01-29,Zhenbing,Perng,F,1986-11-16
10153,1955-12-15,Heekeun,Majewski,M,1987-04-08
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02
10198,1953-05-28,Pranav,Furedi,M,1985-08-31
10215,1954-04-02,Xiaobin,Duclos,M,1987-10-19
10224,1954-05-17,Leon,Trogemann,M,1988-01-09
10233,1954-04-01,Lein,Vendrig,F,1985-07-05
10258,1955-12-12,Basil,Ishibashi,F,1985-05-17
10272,1954-11-30,Yishai,Cannane,M,1988-05-23
10282,1953-11-27,Hercules,Benzmuller,M,1986-06-04
10283,1953-07-08,Kauko,Birjandi,M,1988-05-25
10326,1953-02-13,Masali,Czap,F,1985-05-13
10340,1952-08-20,Djelloul,Laventhal,M,1987-06-05
10347,1953-10-03,Pradeep,Kaminger,M,1985-12-12
10355,1952-12-10,Satyanarayana,Cochrane,M,1987-11-15
10356,1952-08-12,Vasilis,Standera,M,1988-08-06
10364,1954-09-21,Nakhoon,Dengi,M,1985-11-14
10372,1952-04-08,Anneli,Frijda,F,1985-07-30
10387,1952-11-03,Parto,Wrigley,F,1987-02-19
10396,1955-08-21,Sibyl,Rahier,M,1986-01-11
10402,1953-07-23,Volkmar,Ebeling,M,1987-01-02
10404,1955-04-27,Prodip,Rosti,F,1988-08-28
10426,1955-12-28,Arunas,Luce,F,1985-07-06
10429,1952-02-13,Martien,Improta,F,1986-03-09
10432,1953-11-06,Hisao,Tiemann,F,1985-04-30
10451,1952-10-06,Bodh,Ranta,F,1988-03-12
10453,1953-07-19,Tsvetan,Matzel,F,1985-04-02
10463,1954-05-20,Ung,Zaiane,M,1987-12-25
10486,1952-08-24,Amstein,Kossowski,F,1987-10-08
10494,1953-12-21,Yakkov,Servieres,F,1986-01-18
10504,1953-04-07,Xiong,Varker,M,1988-12-03
10512,1955-11-16,Udi,Gihr,M,1986-01-12
10522,1955-07-24,Marke,Cesareni,F,1986-12-12
10548,1952-06-12,Ramalingam,Gunderson,M,1986-05-04
10564,1955-04-14,Jianhao,Thisen,M,1986-05-08
